,Wijk,Mean age
0,Binnenstad,50.82164982067167
1,Leidsche Rijn,17.92576479524895
2,Noordoost,36.85323703894764
3,Noordwest,33.097335625268585
4,Oost,43.765074099834145
5,Overvecht,38.94976527881367
6,Vleuten - De Meern,22.152973930650468
7,West,36.13087373800324
8,Zuid,34.39630562552477
9,Zuidwest,31.861879690825585
