class_val,total_area,proportion_of_landscape,patch_density,largest_patch_index,area_mn,Area
1,71.29,12.840417867435159,83.57348703170028,2.6657060518731988,0.15364224137931032,Zuidwest
1,164.8,34.834809444291785,65.31526770804709,12.27039252573506,0.5333333333333333,Zuid
1,19.99,7.389198979780431,70.6021513325694,2.1365467785458176,0.10465968586387432,Binnenstad
1,113.52,12.638469845581769,55.22093942396544,1.443983032921032,0.22887096774193547,West
1,2107.65,57.20283781876608,33.43719127593282,20.08701269093396,1.7107548701298703,Vleuten - De Meern
1,269.79,23.970466721752807,73.74434700713455,5.67831471954936,0.3250481927710844,Leidsche Rijn
1,139.94,27.59123799759459,83.99219227508429,6.16928567203612,0.3284976525821596,Noordoost
1,75.21,16.596787006796717,54.94747991879248,5.925059581604732,0.30204819277108436,Noordwest
1,504.86,45.73338647728096,53.26472932821219,12.538046235234438,0.8586054421768707,Oost
1,355.77,41.94510599165272,42.208021882147655,19.796505458746964,0.9937709497206704,Overvecht
1,3822.87,38.53816143633376,50.62653104428561,7.461011925763884,0.7612246117084827,Utrecht
